Name,Port 1,Port 2
Cat5e Ethernet Patch Cable - Black Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Blue Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Green Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Gray Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Red Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - White Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Yellow Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Violet Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Orange Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat5e Ethernet Patch Cable - Pink Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Black Cat5e Network Patch Cable 350MHz RJ45,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Blue Cat5e Network Patch Cable 350MHz RJ45,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Grey Cat5e Network Patch Cable 350MHz RJ45,Ethernet (RJ-45) port,Ethernet (RJ-45) port
White Cat5e Network Patch Cable 350MHz RJ45,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Red Cat5e 350MHz RJ45 Network Patch Cable,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Green Cat5e 350MHz RJ45 Network Patch Cable,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Violet Cat5e 350MHz RJ45 Network Patch Cable,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Yellow Cat5e 350MHz RJ45 Network Patch Cable ,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Orange Cat5e Network Patch Cable 350MHz RJ45,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Pink Cat5e Network Patch Cable 350MHz RJ45,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Brown Cat5e Network Patch Cable 350MHz RJ45,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Red Crossover 5e 350MHz RJ45 Network Patch Cable,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat 5e Network Patch Cable-White-Plenum Rated for in-ceiling installations,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat 5e Network Patch Cable-Blue-Plenum Rated for in-ceiling installations,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Green Cat5e CMP Plenum Rated 350Mhz Network Patch Cable- for in-ceiling installations,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Pink Cat5e CMP Plenum Rated 350Mhz Network Patch Cable- for in-ceiling installations,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat 5e Network Path Cable-Black-Plenum Rated for in-ceiling installations ,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Red Cat5e CMP Plenum Rated 350Mhz Network Patch Cable- for in-ceiling installations,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat 5e Network Patch Cable-Purple-Plenum Rated for in-ceiling installations,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Yellow Cat5e CMP Plenum Rated 350Mhz Network Patch Cable- for in-ceiling ,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat 5e Network Patch Cable- Plenum Rated for in-ceiling installations,Ethernet (RJ-45) port,Ethernet (RJ-45) port
